State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson,,,,,,,,,,,,,,,,,,,
Nevada,6,815,63,0.4588,0.4112,0.07,,,,,,,,,,,,,,,,,,,
Nevada,6,627,62,0.395,0.435,0.08,,,,,,,,,,,,,,,,,,,
Nevada,6,207,59,0.283,0.357,0.13,,,,,,,,,,,,,,,,,,,
Nevada,6,406,57,0.42,0.44,0.08,,,,,,,,,,,,,,,,,,,
Nevada,6,294,57,0.445,0.455,0.07,,,,,,,,,,,,,,,,,,,
Nevada,6,398,56,0.4,0.42,0.05,,,,,,,,,,,,,,,,,,,
Nevada,6,400,55,0.415,0.425,0.07,,,,,,,,,,,,,,,,,,,
Nevada,6,800,52,0.405,0.405,0.11,,,,,,,,,,,,,,,,,,,
Nevada,6,236,52,0.323,0.337,0.15,,,,,,,,,,,,,,,,,,,
Nevada,6,540,51,0.4715,0.4585,0.07,,,,,,,,,,,,,,,,,,,
Nevada,6,704,50,0.4,0.43,0.08,,,,,,,,,,,,,,,,,,,
Nevada,6,333,50,0.415,0.445,0.07,,,,,,,,,,,,,,,,,,,
Nevada,6,173,46,0.343,0.337,0.10,,,,,,,,,,,,,,,,,,,
Nevada,6,536,44,0.4715,0.4685,0.06,,,,,,,,,,,,,,,,,,,
Nevada,6,800,41,0.45,0.44,0.05,,,,,,,,,,,,,,,,,,,
Nevada,6,500,41,0.4365,0.3835,0.07,,,,,,,,,,,,,,,,,,,
Nevada,6,700,40,0.4335,0.4165,0.08,,,,,,,,,,,,,,,,,,,
Nevada,6,120,40,0.353,0.327,0.13,,,,,,,,,,,,,,,,,,,
Nevada,6,700,36,0.4365,0.4235,0.09,,,,,,,,,,,,,,,,,,,
